,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
5815,149343,INF754K01NR9,-,Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Growth,10.5901,24-May-2023
5816,149339,INF754K01NS7,-,Edelweiss NIFTY Large Midcap 250 Index Fund - Direct Plan Payout,10.5901,24-May-2023
5817,149341,INF754K01NN8,-,Edelweiss NIFTY Large Midcap 250 Index Fund - Regular Plan Growth,10.489,24-May-2023
5818,149342,INF754K01NO6,-,Edelweiss NIFTY Large Midcap 250 Index Fund - Regular Plan Payout,10.4885,24-May-2023
5819,150902,INF754K01QD2,-,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - Growth,10.0277,24-May-2023
5820,150903,INF754K01QE0,INF754K01QF7,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - IDCW,10.0291,24-May-2023
5821,150900,INF754K01PZ7,-,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Regular Plan - Growth,9.9933,24-May-2023
5822,150901,INF754K01QA8,INF754K01QB6,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Regular Plan - IDCW,9.9933,24-May-2023
5823,150899,INF754K01QL5,-,Edelweiss Nifty Next 50 Index Fund - Direct Plan - Growth,9.4184,24-May-2023
5824,150896,INF754K01QM3,INF754K01QN1,Edelweiss Nifty Next 50 Index Fund - Direct Plan - IDCW,9.4185,24-May-2023
5825,150897,INF754K01QH3,-,Edelweiss Nifty Next 50 Index Fund - Regular Plan - Growth,9.3858,24-May-2023
5826,150898,INF754K01QI1,INF754K01QJ9,Edelweiss Nifty Next 50 Index Fund - Regular Plan - IDCW,9.3858,24-May-2023
5827,148794,INF754K01MA7,INF754K01MB5,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50: 50 Index Fund - Regular Plan - IDCW Option,11.2001,24-May-2023
5828,148795,INF754K01MD1,-,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan - Growth,11.2394,24-May-2023
5829,148796,INF754K01ME9,INF754K01MF6,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan - IDCW Option,11.24,24-May-2023
5830,148797,INF754K01LZ6,-,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Regular Plan - Growth,11.199,24-May-2023
5831,149246,INF754K01MU5,INF754K01MV3,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Direct Plan - IDCW,10.6737,24-May-2023
5832,149247,INF754K01MT7,-,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Direct Plan Growth,10.6749,24-May-2023
5833,149249,INF754K01MP5,-,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Regular Plan - Growth,10.6448,24-May-2023
5834,149248,INF754K01MQ3,INF754K01MR1,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Fund - Regular Plan - IDCW,10.6454,24-May-2023
5835,150892,INF754K01QT8,-,Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - Growth,10.064,24-May-2023
5836,150895,INF754K01QU6,INF754K01QV4,Edelweiss Nifty Smallcap 250 Index Fund - Direct Plan - IDCW,10.0641,24-May-2023
5837,150894,INF754K01QP6,-,Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan - Growth,10.0356,24-May-2023
5838,150893,INF754K01QQ4,INF754K01QR2,Edelweiss Nifty Smallcap 250 Index Fund - Regular Plan - IDCW,10.0356,24-May-2023
5839,118580,INF090I01GQ8,INF090I01GR6,Franklin India INDEX FUND- NSE Nifty 50 Index Fund - Direct - IDCW,151.6820,24-May-2023
5840,100484,INF090I01890,-,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,145.5615,24-May-2023
5841,105067,INF090I01874,INF090I01882,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND - IDCW,145.5615,24-May-2023
5842,118581,INF090I01GS4,-,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,151.6820,24-May-2023
5843,119063,INF179K01WM1,-,HDFC Index Fund-NIFTY 50 Plan - Direct Plan,173.3891,24-May-2023
5844,101525,INF179K01KZ8,-,HDFC Index Fund-NIFTY 50 Plan - Growth Plan,170.1763,24-May-2023
5845,119065,INF179K01WN9,-,HDFC Index Fund-S&P BSE Sensex Plan - Direct Plan,572.0727,24-May-2023
5846,101281,INF179K01LA9,-,HDFC Index Fund-S&P BSE Sensex Plan - Growth Plan,560.4128,24-May-2023
5847,149870,INF179KC1CA1,-,HDFC Nifty 100 Equal Weight Index Fund - Direct Plan - Growth Option,10.4813,24-May-2023
5848,149871,INF179KC1CB9,-,HDFC Nifty 100 Equal Weight Index Fund - Growth Option,10.405,24-May-2023
5849,149868,INF179KC1BY3,-,HDFC NIFTY 100 Index Fund - Direct Plan - Growth Option,10.5855,24-May-2023
5850,149869,INF179KC1BZ0,-,HDFC NIFTY 100 Index Fund - Growth Option,10.5043,24-May-2023
5851,151496,INF179KC1FR8,-,HDFC Nifty G-Sec Apr 2029 Index Fund - Growth Option,10.3538,24-May-2023
5852,151495,INF179KC1FQ0,-,HDFC Nifty G-Sec Apr 2029 Index Fund - Growth Option - Direct Plan,10.3572,24-May-2023
5853,150844,INF179KC1EG4,-,HDFC Nifty G-Sec Dec 2026 Index Fund - Growth Option,10.4816,24-May-2023
5854,150845,INF179KC1EE9,-,HDFC Nifty G-Sec Dec 2026 Index Fund - Growth Option - Direct Plan,10.4903,24-May-2023
5855,150846,INF179KC1EI0,-,HDFC Nifty G-Sec July 2031 Index Fund - Growth Option,10.5862,24-May-2023
5856,150847,INF179KC1EH2,-,HDFC Nifty G-Sec July 2031 Index Fund - Growth Option - Direct Plan,10.5969,24-May-2023
5857,151180,INF179KC1EK6,-,HDFC Nifty G-Sec Jun 2027 Index Fund - Growth Option,10.4065,24-May-2023
5858,151181,INF179KC1EJ8,-,HDFC Nifty G-Sec Jun 2027 Index Fund - Growth Option - Direct Plan,10.414,24-May-2023
5859,151490,INF179KC1FT4,-,HDFC Nifty G-Sec Jun 2036 Index Fund - Growth Option,10.4809,24-May-2023
5860,151489,INF179KC1FS6,-,HDFC Nifty G-Sec Jun 2036 Index Fund - Growth Option - Direct Plan,10.4865,24-May-2023
5861,151182,INF179KC1EM2,-,HDFC Nifty G-Sec Sep 2032 Index Fund - Growth Option,10.5143,24-May-2023
5862,151183,INF179KC1EL4,-,HDFC Nifty G-Sec Sep 2032 Index Fund - Growth Option - Direct Plan,10.5217,24-May-2023
5863,151725,INF179KC1GD6,-,HDFC NIFTY Midcap 150 Index Fund - Growth Option,10.529,24-May-2023
5864,151724,INF179KC1GC8,-,HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan,10.5357,24-May-2023
5865,149288,INF179KC1BQ9,-,HDFC NIFTY Next 50 Index Fund - Direct Plan - Growth Option,9.6134,24-May-2023
5866,149287,INF179KC1BR7,-,HDFC NIFTY Next 50 Index Fund - Growth Option,9.5293,24-May-2023
5867,151455,INF179KC1FJ5,-,HDFC Nifty SDL Oct 2026 Index Fund - Growth Option,10.2988,24-May-2023
5868,151456,INF179KC1FI7,-,HDFC Nifty SDL Oct 2026 Index Fund - Growth Option - Direct Plan,10.3049,24-May-2023
5869,151571,INF179KC1GB0,-,HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Growth Option,10.208,24-May-2023
5870,151570,INF179KC1GA2,-,HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Growth Option - Direct Plan,10.2108,24-May-2023
5871,151726,INF179KC1GF1,-,HDFC NIFTY Smallcap 250 Index Fund - Growth Option,10.6266,24-May-2023
5872,151727,INF179KC1GE4,-,HDFC NIFTY Smallcap 250 Index Fund - Growth Option - Direct Plan,10.6335,24-May-2023
5873,149107,INF179KC1BM8,-,HDFC NIFTY50 Equal weight Index Fund - Direct Plan - Growth Option,11.7868,24-May-2023
5874,149106,INF179KC1BN6,-,HDFC NIFTY50 Equal weight Index Fund - Growth Option,11.6629,24-May-2023
5875,151729,INF179KC1GH7,-,HDFC S&P BSE 500 Index Fund - Growth Option,10.4458,24-May-2023
5876,151728,INF179KC1GG9,-,HDFC S&P BSE 500 Index Fund - Growth Option - Direct Plan,10.4525,24-May-2023
5877,149966,INF336L01QH7,-,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct - Growth,10.6480,24-May-2023
5878,149962,INF336L01QI5,INF336L01QJ3,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct - Payout of IDCW,10.6479,24-May-2023
5879,149963,INF336L01QK1,-,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular - Growth,10.6231,24-May-2023
5880,149964,INF336L01QL9,INF336L01QM7,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Regular - payout of IDCW,10.6231,24-May-2023
5881,151479,INF336L01QT2,-,HSBC CRISIL IBX Gilt June 2027 Index Fund - Direct - Growth,10.2247,24-May-2023
5882,151482,INF336L01QU0,INF336L01QV8,HSBC CRISIL IBX Gilt June 2027 Index Fund - Direct - IDCW,10.2248,24-May-2023
5883,151480,INF336L01QW6,-,HSBC CRISIL IBX Gilt June 2027 Index Fund - Regular - Growth,10.2198,24-May-2023
5884,151481,INF336L01QX4,INF336L01QY2,HSBC CRISIL IBX Gilt June 2027 Index Fund - Regular - IDCW,10.2199,24-May-2023
5885,151157,INF917K01D12,-,HSBC NIFTY 50 INDEX FUND - Direct Growth,20.9580,24-May-2023
5886,151156,INF917K01C96,INF917K01D04,HSBC NIFTY 50 INDEX FUND - Direct IDCW,20.9579,24-May-2023
5887,151158,INF917K01D38,-,HSBC NIFTY 50 INDEX FUND - Regular Growth,20.7118,24-May-2023
5888,151159,INF917K01D20,INF917K01D46,HSBC NIFTY 50 INDEX FUND - Regular IDCW,20.7118,24-May-2023
5889,151160,INF917K01D79,-,HSBC NIFTY NEXT 50 INDEX FUND - Direct Growth,17.8719,24-May-2023
5890,151163,INF917K01D53,INF917K01D61,HSBC NIFTY NEXT 50 INDEX FUND - Direct IDCW,17.8719,24-May-2023
5891,151162,INF917K01D95,-,HSBC NIFTY NEXT 50 INDEX FUND - Regular Growth,17.6235,24-May-2023
5892,151161,INF917K01D87,INF917K01E03,HSBC NIFTY NEXT 50 INDEX FUND - Regular IDCW,17.6236,24-May-2023
5893,149219,INF109KC1U50,-,ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - Growth,9.8272,23-May-2023
5894,149221,INF109KC1U68,INF109KC1U76,ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - IDCW,9.8263,23-May-2023
5895,149218,INF109KC1U27,-,ICICI Prudential NASDAQ 100 Index Fund - Growth,9.7485,23-May-2023
5896,149220,INF109KC1U35,INF109KC1U43,ICICI Prudential NASDAQ 100 Index Fund - IDCW,9.7483,23-May-2023
5897,150452,INF109KC11D8,-,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth,10.8390,24-May-2023
5898,150453,INF109KC12D6,INF109KC13D4,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - IDCW,10.8379,24-May-2023
5899,150454,INF109KC18C5,-,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Growth,10.7821,24-May-2023
5900,150451,INF109KC19C3,INF109KC10D0,ICICI Prudential Nifty 200 Momentum 30 Index Fund - IDCW,10.7819,24-May-2023
5901,101349,INF109K01PI0,-,ICICI Prudential Nifty 50 Index Fund - Cumulative Option,180.5554,24-May-2023
5902,120620,INF109K012M7,-,ICICI Prudential Nifty 50 Index Fund - Direct Plan Cumulative Option,187.4720,24-May-2023
5903,135391,INF109KB1NL1,INF109KB1NM9,ICICI Prudential Nifty 50 Index Fund - Direct Plan IDCW Option,25.2109,24-May-2023
5904,135390,INF109KB1NN7,INF109KB1NO5,ICICI Prudential Nifty 50 Index Fund - IDCW Option,24.0544,24-May-2023
5905,150643,-,INF109KC16J4,ICICI Prudential Nifty Auto Index Fund - Direct Plan - Growth,11.1278,24-May-2023
5906,150644,INF109KC17J2,INF109KC18J0,ICICI Prudential Nifty Auto Index Fund - Direct Plan - IDCW,11.1277,24-May-2023
5907,150645,-,INF109KC13J1,ICICI Prudential Nifty Auto Index Fund - Growth,11.0867,24-May-2023
5908,150646,INF109KC14J9,INF109KC15J6,ICICI Prudential Nifty Auto Index Fund - IDCW,11.0867,24-May-2023
5909,149858,INF109KC11A4,-,ICICI Prudential Nifty Bank Index Fund - Direct Plan Growth,12.3778,24-May-2023
5910,149861,INF109KC12A2,INF109KC13A0,ICICI Prudential Nifty Bank Index Fund - Direct Plan IDCW,12.3778,24-May-2023
